Sun, 2018-04-15 20:40:27	38.6°C	███
Sun, 2018-04-15 20:41:27	37.6°C	███
Sun, 2018-04-15 20:42:27	38.6°C	███
Sun, 2018-04-15 20:43:27	37.6°C	███
Sun, 2018-04-15 20:44:27	38.1°C	███
Sun, 2018-04-15 20:45:27	38.6°C	███
Sun, 2018-04-15 20:46:27	38.1°C	███
Sun, 2018-04-15 20:47:28	37.6°C	███
Sun, 2018-04-15 20:48:28	38.1°C	███
Sun, 2018-04-15 20:49:28	37.6°C	███
Sun, 2018-04-15 20:50:28	39.2°C	███
Sun, 2018-04-15 20:51:28	38.1°C	███
Sun, 2018-04-15 20:52:28	37.6°C	███
Sun, 2018-04-15 20:53:28	37.6°C	███
Sun, 2018-04-15 20:54:28	37.6°C	███
Sun, 2018-04-15 20:55:28	39.2°C	███
Sun, 2018-04-15 20:56:28	38.1°C	███
Sun, 2018-04-15 20:57:28	38.1°C	███
Sun, 2018-04-15 20:58:28	37.6°C	███
Sun, 2018-04-15 20:59:28	38.1°C	███
Sun, 2018-04-15 21:00:28	38.1°C	███
Sun, 2018-04-15 21:01:28	38.1°C	███
Sun, 2018-04-15 21:02:28	38.1°C	███
Sun, 2018-04-15 21:03:28	37.6°C	███
Sun, 2018-04-15 21:04:28	38.1°C	███
Sun, 2018-04-15 21:05:29	38.6°C	███
Sun, 2018-04-15 21:06:29	37.6°C	███
Sun, 2018-04-15 21:07:29	38.6°C	███
Sun, 2018-04-15 21:08:29	37.6°C	███
Sun, 2018-04-15 21:09:29	38.6°C	███
Sun, 2018-04-15 21:10:29	37.6°C	███
Sun, 2018-04-15 21:11:29	37.6°C	███
Sun, 2018-04-15 21:12:29	38.1°C	███
Sun, 2018-04-15 21:13:29	38.1°C	███
Sun, 2018-04-15 21:14:29	37.6°C	███
Sun, 2018-04-15 21:15:29	37.6°C	███
Sun, 2018-04-15 21:16:29	38.1°C	███
Sun, 2018-04-15 21:17:29	38.6°C	███
Sun, 2018-04-15 21:18:29	38.1°C	███
Sun, 2018-04-15 21:19:29	37.6°C	███
